1000000,279,1000000,1000000,1000000,186,385,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
279,1000000,247,1000000,684,423,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,529,1000000,1000000
1000000,247,1000000,230,805,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1270
1000000,1000000,230,1000000,896,1000000,1000000,1000000,712,279,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1000000,684,805,896,1000000,452,1000000,827,526,1000000,1000000,1000000,954,1000000,1000000,1000000,1000000,1000000
186,423,1000000,1000000,452,1000000,220,930,1000000,1000000,162,1000000,1000000,1000000,1000000,1000000,1000000,1000000
385,1000000,1000000,1000000,1000000,220,1000000,1120,1000000,1060,1000000,1000000,544,1000000,1000000,1000000,1000000,1000000
1000000,1000000,1000000,1000000,827,930,1120,1000000,301,1000000,771,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1000000,1000000,1000000,712,526,1000000,1000000,301,1000000,922,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1000000,1000000,1000000,279,1000000,1000000,1060,1000000,922,1000000,1000000,1000000,770,1780,1000000,1000000,1000000,1000000
1000000,1000000,1000000,1000000,1000000,162,1000000,771,1000000,1000000,1000000,1000000,1000000,1000000,775,1000000,1000000,1000000
1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,475,395,1000000,1000000
1000000,1000000,1000000,1000000,954,1000000,544,1000000,1000000,770,1000000,1000000,1000000,1330,1000000,217,708,1000000
1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1780,1000000,1000000,1330,1000000,1000000,1000000,1000000,2600
1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,775,475,1000000,1000000,1000000,1000000,1000000,1000000
1000000,529,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,395,217,1000000,1000000,1000000,1000000,1000000
1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,708,1000000,1000000,1000000,1000000,1640
1000000,1000000,1270,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2600,1000000,1000000,1640,1000000
